id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1799,38,16,1082.073007,1265.073007,1137.838403,1249.528321,1253.162214,1464.581498,1020.30761,1461.827686,1268.985943,1207.260863,1140.611262,1060.02626,967.6314209,1182.901022,1487.382924,762.7673753,1029.160071,1154.92118,1193.955067,1122.317052
1800,39,16,1096.485405,1282.864353,1153.464307,1270.964238,1266.785566,1482.035716,1036.185612,1473.849228,1279.428084,1216.556514,1149.663846,1076.142679,968.5706715,1200.842887,1513.171824,776.0216968,1039.492484,1175.285866,1211.692622,1125.627255
1801,40,16,1101.545181,1293.168949,1162.622865,1283.989391,1272.317897,1490.242638,1042.823727,1474.38699,1280.972151,1217.20153,1149.635842,1083.431239,967.3900008,1211.797112,1525.145158,783.3707281,1040.973721,1188.154071,1220.117688,1120.354795
1802,41,16,1102.910151,1297.874107,1167.439055,1291.594111,1273.093041,1493.42528,1044.388281,1468.991494,1279.589525,1216.423117,1145.195563,1088.209716,963.7620108,1218.22957,1532.661076,787.5844004,1039.135457,1196.239974,1225.204845,1112.501089
1803,42,16,1099.442742,1298.780906,1167.345065,1293.68668,1270.697088,1491.973961,1040.423666,1457.969901,1273.691878,1211.834071,1136.691875,1089.154307,955.4924567,1219.173385,1535.724831,789.9323626,1034.223096,1200.627151,1226.410955,1100.969901
1804,43,16,1089.952414,1298.016927,1162.80698,1291.455137,1266.647057,1486.395551,1030.650884,1442.084458,1262.153897,1200.281014,1124.354281,1084.180677,942.925634,1214.094021,1532.765421,791.6981799,1025.993974,1202.54672,1221.719224,1084.801245
1805,44,16,1087.487015,1301.56551,1164.651753,1298.573701,1267.4821,1486.4678,1026.506229,1434.245419,1259.422819,1193.464524,1117.365176,1083.474353,938.4914853,1212.619877,1535.563872,797.7956387,1022.571619,1209.682435,1218.56551,1075.355791
1806,45,16,1085.646064,1304.696627,1166.780897,1306.561794,1262.780897,1483.730335,1025.679772,1424.662918,1250.831459,1188.713481,1105.764043,1084.595502,928.797751,1216.679772,1537.730335,801.8651673,1018.764043,1219.595502,1221.62921,1068.62921
1807,46,16,1103.91655,1329.250328,1190.472397,1333.923275,1284.609681,1509.222062,1045.730815,1449.250328,1269.936734,1209.670248,1120.33647,1110.044409,946.0578679,1241.250328,1568.697158,821.8600167,1039.750999,1249.693124,1244.452213,1087.775232
1808,47,16,1120.277961,1350.885274,1214.289448,1358.165734,1302.105126,1534.711814,1066.838881,1473.165734,1287.870434,1227.870434,1134.762809,1129.481099,960.8092019,1264.400426,1597.803975,839.1669833,1058.682135,1279.476498,1266.666046,1106.496564
1809,48,16,1132.917617,1369.094139,1234.950081,1377.646321,1316.780604,1555.240954,1081.506436,1492.594888,1301.633788,1241.556638,1143.414816,1145.84375,972.9768014,1280.759994,1620.481654,855.076613,1074.417688,1304.815092,1283.936403,1118.116983
1810,49,16,1139.422479,1383.218415,1249.500909,1392.974508,1326.493381,1570.175978,1090.018067,1506.724543,1310.130671,1248.86418,1146.28715,1159.158891,980.6695021,1292.861588,1636.234032,867.5940462,1085.328465,1325.388092,1296.056266,1124.996568
1811,50,16,1144.344209,1397.357919,1263.853535,1409.024651,1335.758749,1584.997626,1098.971985,1521.650846,1318.278227,1255.305253,1149.865268,1172.823346,987.8247307,1306.838441,1652.198931,880.5335824,1095.99901,1347.078899,1307.278227,1133.437413
1812,51,16,1158.536488,1419.38856,1290.738328,1433.561554,1354.834669,1609.833942,1119.016779,1548.583567,1336.107056,1272.786862,1165.437094,1193.038792,1003.981869,1330.302063,1680.846838,902.033456,1116.405237,1379.141239,1326.097213,1151.683688
